,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,class
0,0.0,30.83,0.0,0.0,0.0,9.0,0.0,1.25,0.0,0.0,1.0,1.0,0.0,202.0,0.0,1
1,1.0,58.67,4.46,0.0,0.0,8.0,1.0,3.04,0.0,0.0,6.0,1.0,0.0,43.0,560.0,1
2,1.0,24.5,0.5,0.0,0.0,8.0,1.0,1.5,0.0,1.0,0.0,1.0,0.0,280.0,824.0,1
3,0.0,27.83,1.54,0.0,0.0,9.0,0.0,3.75,0.0,0.0,5.0,0.0,0.0,100.0,3.0,1
4,0.0,20.17,5.625,0.0,0.0,9.0,0.0,1.71,0.0,1.0,0.0,1.0,2.0,120.0,0.0,1
5,0.0,32.08,4.0,0.0,0.0,6.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,360.0,0.0,1
6,0.0,33.17,1.04,0.0,0.0,7.0,1.0,6.5,0.0,1.0,0.0,0.0,0.0,164.0,31285.0,1
7,1.0,22.92,11.585,0.0,0.0,2.0,0.0,0.04,0.0,1.0,0.0,1.0,0.0,80.0,1349.0,1
8,0.0,54.42,0.5,1.0,1.0,5.0,1.0,3.96,0.0,1.0,0.0,1.0,0.0,180.0,314.0,1
9,0.0,42.5,4.915,1.0,1.0,9.0,0.0,3.165,0.0,1.0,0.0,0.0,0.0,52.0,1442.0,1
10,0.0,22.08,0.83,0.0,0.0,0.0,1.0,2.165,1.0,1.0,0.0,0.0,0.0,128.0,0.0,1
11,0.0,29.92,1.835,0.0,0.0,0.0,1.0,4.335,0.0,1.0,0.0,1.0,0.0,260.0,200.0,1
12,1.0,38.25,6.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
13,0.0,48.08,6.04,0.0,0.0,5.0,0.0,0.04,1.0,1.0,0.0,1.0,0.0,0.0,2690.0,1
14,1.0,45.83,10.5,0.0,0.0,8.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1
15,0.0,36.67,4.415,1.0,1.0,5.0,0.0,0.25,0.0,0.0,10.0,0.0,0.0,320.0,0.0,1
16,0.0,28.25,0.875,0.0,0.0,6.0,0.0,0.96,0.0,0.0,3.0,0.0,0.0,396.0,0.0,1
17,1.0,23.25,5.875,0.0,0.0,8.0,0.0,3.17,0.0,0.0,10.0,1.0,0.0,120.0,245.0,1
18,0.0,21.83,0.25,0.0,0.0,1.0,1.0,0.665,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
19,1.0,19.17,8.585,0.0,0.0,2.0,1.0,0.75,0.0,0.0,7.0,1.0,0.0,96.0,0.0,1
