,surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,surgical_lesion
0,1.0,0.0,38.5,66.0,28.0,2.0,2.0,0.0,1.0,4.0,3.0,3.0,1.0,0.0,4.962319,2.0,4.0,45.0,8.4,1.0,2.94812,1.0,0
1,0.0,0.0,39.2,88.0,20.0,2.0,0.0,3.0,0.0,2.0,3.0,1.0,1.0,0.0,4.962319,3.0,1.0,50.0,85.0,1.0,2.0,2.0,0
2,1.0,0.0,38.3,40.0,24.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,4.962319,0.0,0.0,33.0,6.7,1.0,2.94812,0.0,0
3,0.0,1.0,39.1,164.0,84.0,3.0,0.0,5.0,1.0,1.0,3.0,3.0,0.0,1.0,5.0,2.0,4.0,48.0,7.2,2.0,5.3,1.0,1
4,1.0,0.0,37.3,104.0,35.0,2.0,0.0,5.0,1.0,2.0,2.0,0.0,1.0,0.0,4.962319,3.0,4.0,74.0,7.4,1.0,2.94812,1.0,0
5,1.0,0.0,38.134448,70.75731,30.521886,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,4.962319,2.0,2.0,45.656798,24.771077,1.0,2.94812,0.0,0
6,0.0,0.0,37.9,48.0,16.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4.962319,2.0,4.0,37.0,7.0,1.0,2.94812,0.0,1
7,0.0,0.0,38.134448,60.0,30.521886,2.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,4.962319,2.0,3.0,44.0,8.3,1.0,2.94812,1.0,1
8,1.0,0.0,38.134448,80.0,36.0,2.0,3.0,2.0,0.0,3.0,3.0,3.0,1.0,0.0,4.962319,2.0,4.0,38.0,6.2,1.0,2.94812,2.0,1
9,1.0,1.0,38.3,90.0,30.521886,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,4.962319,2.0,4.0,40.0,6.2,0.0,2.2,0.0,0
10,0.0,0.0,38.1,66.0,12.0,2.0,2.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,1.0,4.0,44.0,6.0,1.0,3.6,0.0,1
11,1.0,0.0,39.1,72.0,52.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.962319,3.0,3.0,50.0,7.8,1.0,2.94812,0.0,1
12,0.0,0.0,37.2,42.0,12.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,4.962319,3.0,4.0,45.656798,7.0,1.0,2.94812,0.0,0
13,1.0,1.0,38.0,92.0,28.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,7.2,0.0,0.0,37.0,6.1,0.0,2.94812,1.0,0
